unique.ID,block,water,microbe,rep,bkgrd,focal,ACAM,BRHO,num.focal.indiv.in.bag,num.addl.focals,date,sample.collected,notes,partial.collection.date2,partial.completed,processing.date,inflor.g,total.biomass.g,processing.notes
229,40,0.75,1,3,ACAM,BRHO,60,focal,2,,5/16/2024,X,,,,6/11/24,0.561,1.497,
230,38,0.75,1,3,ACAM,BRHO,84,focal,3,,5/12/2024,3 OF 3 X,PARTIAL COLLECTION,05/30/2024,X,06/10/2024,1.321,4.196,
231,32,1,1,3,ACAM,BRHO,0,focal,1,1,5/20/2024,X,1 phyto veg & not collected,,,06/10/2024,0.771,2.068,
232,17,1,1,3,ACAM,BRHO,3,focal,1,1,5/23/2024,X,"collected only 1 of 2 individuals, include other in background count, but only 1 in envelope.",,,06/10/2024,0.421,2.117,
233,39,1,1,3,ACAM,BRHO,6,focal,1,1,05/31/24,X,1 phyto veg not collected,,,06/10/2024,0.152,2.312,
234,18,1,1,3,ACAM,BRHO,12,focal,2,,5/13/2024,X,,,,6/11/24,0.958,2.971,
235,41,1,1,3,ACAM,BRHO,18,focal,2,,5/16/2024,2 OF 2 X,PARTIAL COLLECTION,5/29/24,X,06/10/2024,1.043,4.47,
236,38,1,1,3,ACAM,BRHO,24,focal,2,,5/16/2024,X,,,,6/11/24,1.405,5.971,
237,36,1,1,3,ACAM,BRHO,36,focal,2,,5/11/2024,2 OF 2 X,PARTIAL COLLECTION,5/27/2024,X,06/10/2024,0.841,3.235,
238,32,1,1,3,ACAM,BRHO,48,focal,2,,5/12/2024,X,,,,6/11/24,1.143,3.021,
239,32,1,1,3,ACAM,BRHO,60,focal,2,,5/12/2024,x,ALLO,,,6/11/24,1.419,4.665,
240,5,1,1,3,ACAM,BRHO,84,focal,2,,5/9/2024,X,,,,6/11/24,0.543,1.769,
241,14,0.6,1,4,ACAM,BRHO,0,focal,2,,5/12/2024,2 of 2 X,PARTIAL COLLECTION,5/23/2024,X,06/10/24,1.124,2.845,
242,18,0.6,1,4,ACAM,BRHO,3,focal,1,1,05/31/24,X,1 phyto veg not collected,,,06/10/24,0.322,2.015,
243,32,0.6,1,4,ACAM,BRHO,6,focal,2,,5/20/2024,X,,,,06/10/24,1.321,3.486,
244,37,0.6,1,4,ACAM,BRHO,12,focal,2,,5/12/2024,X,,,,06/10/24,0.856,1.72,
245,39,0.6,1,4,ACAM,BRHO,18,focal,2,,5/12/2024,X,,,,06/10/24,1.068,2.554,
246,23,0.6,1,4,ACAM,BRHO,24,focal,1,1,5/20/2024,X,1 focal veg & not collected,,,06/10/24,0.229,0.828,
247,15,0.6,1,4,ACAM,BRHO,36,focal,2,,05/13/24,x,,,,06/10/24,0.86,2.048,
248,33,0.6,1,4,ACAM,BRHO,48,focal,2,,5/11/2024,X,,,,06/10/24,0.454,1.087,
249,39,0.6,1,4,ACAM,BRHO,60,focal,2,,5/20/2024,X,,,,06/10/24,0.481,1.595,
250,26,0.6,1,4,ACAM,BRHO,84,focal,1,1,5/17/2024,1 OF 1 X,"PARTIAL COLLECTION; only collected 1 focal, other still vegetative; only one in envelope",,,06/10/24,0.159,0.59,
251,24,0.75,1,4,ACAM,BRHO,0,focal,2,,5/9/2024,X,,,,06/10/24,1.619,4.322,
252,16,0.75,1,4,ACAM,BRHO,3,focal,2,,05/06/24,x,,,,06/10/24,1.206,2.881,
253,5,0.75,1,4,ACAM,BRHO,6,focal,2,,5/10/2024,X,filled this row in based on envelope #'s; should be all good now,,,06/10/24,1.159,2.933,
254,41,0.75,1,4,ACAM,BRHO,12,focal,2,,5/12/2024,X,,,,06/10/24,1.178,3.235,
255,14,0.75,1,4,ACAM,BRHO,18,focal,2,,5/20/24,X,,,,06/10/24,0.582,2.481,
256,25,0.75,1,4,ACAM,BRHO,24,focal,2,,5/10/2024,2 of 2 X,PARTIAL COLLECTION,05/31/2025,X,06/10/24,1.318,3.304,
257,38,0.75,1,4,ACAM,BRHO,36,focal,2,,5/11/2024,X,ALLO,,,06/10/24,0.778,1.828,
258,31,0.75,1,4,ACAM,BRHO,48,focal,2,,5/11/2024,X,ALLO,,,06/10/24,1.612,3.543,
259,13,0.75,1,4,ACAM,BRHO,60,focal,1,1,5/31/2024,X,1 focal veg & not collected,,,06/10/24,0.192,1.042,
260,41,0.75,1,4,ACAM,BRHO,84,focal,2,,5/11/2024,x,,,,06/10/24,1.102,2.898,
261,7,1,1,4,ACAM,BRHO,0,focal,2,,05/17/24,x,,,,6/11/24,0.925,3.303,
262,8,1,1,4,ACAM,BRHO,3,focal,2,,5/16/2024,X,,,,6/11/24,0.895,4.026,
263,41,1,1,4,ACAM,BRHO,6,focal,2,,5/20/2024,2 OF 2 X,PARTIAL COLLECTION,05/31/2024,X,6/11/24,1.254,5.526,CHECK ENV FOR # FOCALS
264,35,1,1,4,ACAM,BRHO,12,focal,2,,5/12/2024,2 of 2 X,PARTIAL COLLECTION,05/31/2024,,6/11/24,1.51,4.342,
265,5,1,1,4,ACAM,BRHO,18,focal,2,,05/10/24,x,,,,6/11/24,0.757,2.308,
266,8,1,1,4,ACAM,BRHO,24,focal,2,,5/12/2024,X,,,,6/11/24,0.985,2.336,
267,23,1,1,4,ACAM,BRHO,36,focal,2,,5/9/2024,X,,,,6/11/24,1.141,3.243,
268,7,1,1,4,ACAM,BRHO,48,focal,1,1,05/31/24,X,1 phyto veg not collected,,,6/11/24,0.229,1.051,
269,18,1,1,4,ACAM,BRHO,60,focal,2,,5/12/2024,2 OF 2 X,PARTIAL COLLECTION,05/31/2024,X,6/11/24,1.032,3.317,CHECK ENV FOR # FOCALS
270,6,1,1,4,ACAM,BRHO,84,focal,2,,5/9/2024,X,,,,6/11/24,0.911,2.772,
271,40,0.6,1,5,ACAM,BRHO,0,focal,2,,5/16/2024,X,,,,6/11/24,1.312,2.916,
272,34,0.6,1,5,ACAM,BRHO,3,focal,2,,5/10/2024,X,,,,6/11/24,0.895,2.036,
273,34,0.6,1,5,ACAM,BRHO,6,focal,2,,5/11/2024,X,,,,6/11/24,0.691,1.922,
274,35,0.6,1,5,ACAM,BRHO,12,focal,2,,5/12/2024,X,,,,6/11/24,1.125,2.763,
276,31,0.6,1,5,ACAM,BRHO,24,focal,2,,5/12/2024,X,,,,6/11/24,0.807,1.978,
278,16,0.6,1,5,ACAM,BRHO,48,focal,2,,5/16/2024,X,,,,6/11/24,0.595,1.341,
281,37,0.75,1,5,ACAM,BRHO,0,focal,2,,5/12/2024,X,,,,6/11/24,2.489,5.533,
282,34,0.75,1,5,ACAM,BRHO,3,focal,2,,5/11/2024,X,,,,6/11/24,1.504,4.175,
283,34,0.75,1,5,ACAM,BRHO,6,focal,2,,5/9/2024,X,"this was not recorded on 5/9; guessing at bg indiv based on stems visible after clipping; check the sample while recording, looks like htey were clipped short enough to be able to count by the bases during weighing; CONFIRMED COUNT ON ENVELOPE; ALL GOOD NOW",,,6/11/24,1.587,4.177,
284,40,0.75,1,5,ACAM,BRHO,12,focal,2,,05/17/24,x,,,,6/11/24,0.891,2.627,
286,15,0.75,1,5,ACAM,BRHO,24,focal,2,,5/16/2024,X,,,,6/11/24,1.517,4.036,
288,33,0.75,1,5,ACAM,BRHO,48,focal,2,,5/11/2024,X,,,,6/11/24,1.135,2.493,
291,40,1,1,5,ACAM,BRHO,0,focal,2,,05/24/24,X,,,,6/11/24,0.607,3.673,
292,34,1,1,5,ACAM,BRHO,3,focal,2,,05/24/24,X,,,,6/11/24,1.68,7.568,
294,17,1,1,5,ACAM,BRHO,12,focal,1,1,05/31/24,X,"1 focal veg & not collected, some green heads on collected indiv",,,6/11/24,0.677,2.828,
296,18,1,1,5,ACAM,BRHO,24,focal,2,,5/20/2024,2 OF 2 X,PARTIAL COLLECTION,5/29/24,X,6/11/24,0.736,2.382,
298,18,1,1,5,ACAM,BRHO,48,focal,2,,5/16/2024,2 OF 2 X,PARTIAL COLLECTION,05/31/2024,X,6/11/24,0.787,2.677,
361,34,0.75,1,6,ACAM,BRHO,12,focal,1,1,5/11/2024,1 of 1 X,1 focal veg & not collected,,,6/11/24,0.138,0.256,CHECK ENV FOR # FOCALS
